#Generations
Banners              || 2367/3457/5 || Exploding || The rule often produces ships with growing fluttering banners.{NL}{NL}A rule by Mirek Wojtowicz.
BelZhab              || 23/23/8 || Exploding || Another case of Zhabotinsky reaction.{NL}{NL}Author unknown.
BelZhab Sediment     || 145678/23/8 || Exploding || The rule creates BelZhab like patterns that have growing regions of "sedimentary deposits".{NL}{NL}A rule by Jason Rampe.
Bloomerang           || 234/34678/24 || Expanding || A wave rule that rebounds into a kinder, gentler form of kaleidoscopics - rounded, soft, full, and slow.{NL}{NL}A rule by John Elliott.
Bombers              || 345/24/25 || Chaotic || A close variant of the StarWars rule with much more history steps, what results in beautiful ships, puffers and oscillators.{NL}{NL}Author unknown.
Brain 6              || 6/246/3 || Chaotic || An interesting variation of Brians Brain, with many patterns constructed.{NL}{NL}A rule by Michael Sweney.
Brians Brain         || /2/3 || Chaotic || Brians Brain, unquestionably one of the best known and most beautiful CA rules.{NL}{NL}A rule by Brian Silverman.
Burst                || 0235678/3468/9 || Chaotic || A generations rule related to Nova, Prairie Fire and others which features large areas of cells that slowly die out or decay into oscillators. Named after a characteristic exploding oscillator. Similar to Day&Night in that constructions can be built both with inside and outside oscillations and growth/decay. Has still lifes similar to Life.{NL}{NL}A rule by Michael Sweney.
BurstII              || 235678/3468/9 || Chaotic || Basically it is Burst without the single cell still life. It supports slow and fast spaceships, oscillators, and methuselahs as well as a very characteristic p500+ oscillator.{NL}{NL}A rule by Michael Sweney.
Caterpillars         || 124567/378/4 || Chaotic || The name comes from very commonly occurring caterpillars-like patterns.{NL}{NL}A rule by Mirek Wojtowicz.
Chenille             || 05678/24567/6 || Exploding || {NL}{NL}Author unknown.
Circuit Genesis      || 2345/1234/8 || Expanding || Circuitry which evolves far beyond its programming and continues to do so long after the initial intput have taken the borders elsewhere.{NL}{NL}A rule by Charles A. Rockafellor.
Cooties              || 23/2/8 || Exploding || A very vivacious rule, with cells crawling around like mad lice.{NL}{NL}A rule by Rudy Rucker.
Ebb&Flow             || 012478/36/18 || Exploding || A slow exploding rule with interesting internal dynamics within the growth boundaries. Different types of symmetries will often determine whether a pattern grows indefinitely or dies out. Presents challenging engineering problems. Best viewed with MCell standard/default color palette at speeds of 10 or slower.{NL}{NL}A rule by Michael Sweney.
Ebb&Flow II          || 012468/37/18 || Exploding || A close variant of Ebb&Flow that supports simple gliders.{NL}{NL}A rule by Michael Sweney.
Faders               || 2/2/25 || Exploding || A "genetic" cross between Life and Brians Brain. A dead Faders cell requires exactly 2 firing neighbors to get turned on. A firing Faders cell keeps firing if it has exactly 2 firing neighbors. And when a Faders cell leaves the firing state it goes into a sequence of refractory states.{NL}{NL}A rule by Rudy Rucker and John Walker.
Fireworks            || 2/13/21 || Exploding || Almost perfect fireworks simulation. It produces interesting results from both random and prepared initial states. Even several cells scattered over the lattice will produce long-running ravishing pictures.{NL}{NL}A rule by John Elliott.
FlamingStarbows      || 347/23/8 || Exploding || In this world beautiful expanding diamonds and oddly off-parallelograms sweep across the screen leaving trails of fire and spirals of autogenesis. Reminiscent of a mutant spawn of Faders and mad Zhabotinsky spirals.{NL}{NL}A rule by Charles A. Rockafellor.
